artifact_edge_id	loop_ref	artifact_object_id	artifact_role	artifact_category	coverage_resolution	coverage_evidence_kind	coverage_evidence_locator	review_mode	parent_metadata_digest	discovery_manifest_digest
artifact-edge-213292231784690	loop-099626837675463	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:c79b8090:d462f1c1:f99bf08a:07979638:bc6bc233:2834fcfc:187531cb:91172423	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-213330383499174	loop-009793405207571	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:2f6c2d32:8e8eb44a:d91e0826:90df1a84:431de6c7:2815c8c3:2938aad9:931e300c	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-213411208626649	loop-115650748979260	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:3e48aac1:5b2c5642:286c83be:97bd412f:506a1c5b:712dbf4f:f8272d46:8bc29d2d	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-213501463577729	loop-010416674195662	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:03fe358c:5fcee00e:d06bf656:1b0251c5:331fa447:b71df89e:9d236423:a831a140	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-213669762972589	loop-096055614851507	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:a53f77d7:1a796fdb:9cfae190:d419b9e0:4a479c75:be5b047a:51d793b6:28ff68c0	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-213676175198218	loop-125975285828302	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:187755a2:e19d9c94:64e2b776:6867b2ff:43daae59:3c55f154:43ffc252:90e44aa2	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-213679721859336	loop-146201348977334	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:76daaac3:8dd2a719:1eaa0e4e:da4a1aaa:3ac6016f:8f7cbe7b:2d189762:ae3b9e1d	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-213864788071699	loop-052585172692439	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:7e7c9149:e8170ead:f9a0af1d:7600c4ed:a6e4858b:7a9d434d:c9ff902e:d9fcfd9c	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-213913682247714	loop-260279013518558	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:91cba318:02757ddf:0e28884c:4f5d65c2:dc7a5cd6:3a4a9765:ba0cc876:c91491ef	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-214065706538337	loop-059988302226316	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:363ed2d2:b30bb520:e30d7a1e:2945a5f1:e23c7a40:755619fa:28a2bc97:00af8d50	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-214125390322939	loop-117632340408258	artifact-object-104677365046179	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:43b48bf3:e382653c:6e8fdb3b:7d4c27db:691a5037:20b32b91:83bb9246:e42c9bfe	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-214272196605738	loop-002832447279784	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:5108d6ae:78b164e8:6738646c:eadadbd2:ad30f4d8:2b3f275a:f4a9241f:2ffbc746	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-214618474705374	loop-012186853686760	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:8ce305cd:566b6bb4:b2657c14:ebbacef7:36d609ae:0f8c9d14:43427f8f:f852cf11	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-214944722324707	loop-069387466581917	artifact-object-220135906789755	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:b455e06b:887610f4:e1ce8950:6bf049c3:a8efe2cc:a9db7d7c:f9d59e44:abc77d8a	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-215088063632198	loop-035951659992962	artifact-object-214938912290337	category_coverage	media	unverified	unverified	unverified	independent_review_approved	sha256:e018f223:cdd7f986:3eeb2277:2bbc959b:5de6c1f9:5fca76c1:03fec86c:3cbb3d61	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-215227380050823	loop-103173840731343	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:8a78ad4a:0cc7140b:d78a6cb5:9aa5096d:12a453c7:bc83a425:555768ba:92163482	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-215405390540256	loop-122978355181141	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:7d4b7a61:93d6b707:d6950acd:18ed0df0:442af44a:1d5f8630:1445922c:4c7057f2	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-215440242296536	loop-058885044165719	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:e92afc5d:7b47802d:43011db6:1cbfb713:ba039c9e:5d172447:0ae6a6ff:4ea3d72c	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-215509510714184	loop-251449118327496	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:5076739e:2786b0d2:6dcc3355:2d8d3d6a:ab5a70c4:f194469a:d715439b:00f5b8ea	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-215831439361954	loop-269322350841816	artifact-object-214938912290337	category_coverage	media	unverified	unverified	unverified	independent_review_approved	sha256:742de3e3:393893c4:9c550dd7:8028158f:6a8cafc1:7771eb5b:fcbef284:368381dc	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-215902162056566	loop-273834894230110	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:5c180a71:a41586dd:edc4908a:2a994d89:4bbb9636:236d764c:411e68f7:9749134d	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-216001285582967	loop-058608845223308	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:6e1d4d8f:06630006:f971fc88:f9c860db:18092884:b37ddc34:6b33755a:521cf356	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
